Location,Coordinates
"Atlantic Ocean, off Angola","(29.5562746, -90.3498995)"
"Rio Sidra, Panama","(9.4519359, -78.8327433)"
"Brno, Czech Republic","(49.1922443, 16.6113382)"
"Tor Kach, Pakistan","(30.4369816, 67.3183737)"
"Yangon (Rangoon), Myanmar","(16.7719058, 96.1675197)"
"Cagyan de Oro, Philippines","(8.9161199, 125.6424492)"
"Near Cavalese, Trento, Italy","(46.291187, 11.4604681)"
"Terceira, Portugal","(38.7211653, -27.217638)"
"Near Navafria, Spain","(41.0547237, -3.8250591)"
"Near Nasir, Sudan","(15.593974, 32.5647767)"
"Mombasa, Kenya","(-4.05052, 39.667169)"
"Off Hsinchu, Taiwan","(24.8066333, 120.9686833)"
"Near Charasyab, Afghanistan",
"Piura, Peru","(-5.0, -80.333333)"
"Andoas, Peru","(-3.3754615, -76.6396161)"
"Near Nema, Mauritania","(16.6173344, -7.2663798)"
"Near Longtiang, Laos",
"Indian Trail, North Carolina","(35.0768141, -80.6692352)"
"Near Erdenet, Mongolia","(49.0276045, 104.0443867)"
"Mt. Waialeale, Hawaii","(21.2735628, -157.7027043)"
"Off Rasal, United Arab Emirates","(24.0002488, 53.9994829)"
"Córdoba, Argentina","(-31.9591987, -65.1900583)"
"Asmara, Eritrea","(15.3389667, 38.9326763)"
"Pico de Orizaba, Mexico","(19.0303263, -97.2698195)"
"Southhampton, England",
"Manacapuru River, Brazil","(-23.1660858, -44.1450837)"
"Near Quiberon, France","(47.4874, -3.12152)"
"Kochi, India","(9.9679032, 76.2444378)"
"Kincolith, British Columbia, Canada","(54.9944853, -129.9558154)"
"Saurimo, Angola","(-9.6589303, 20.3981118)"
"Foveaux Strait, New Zealand","(-46.612088, 168.3598392)"
"Near Ghorepani, Nepal","(28.4024938, 83.6999277)"
"Pretoria, South Africa","(-25.7459277, 28.1879101)"
"Manibagi, Myanmar",
"Off Peggy's Cove, Nova Scotia, Canada","(44.2937262, -64.8548065)"
Angola,"(-11.8775768, 17.5691241)"
"Port Alsworth, Alaska","(60.1733525, -154.3201063)"
"Near Nador, Morroco","(35.1739922, -2.9281198)"
"Praia, Cape Verde","(14.9162811, -23.5095095)"
"Off Mannar, Sri Lanka","(8.9812896, 79.9043942)"
"Near Canaima, Venezuela","(10.5944288, -66.9730425)"
"Near Kindu, Congo","(-2.9493766, 25.9184499)"
"Yerevan, Armenia","(40.1777112, 44.5126233)"
"Rwenzori mountains, Uganda","(0.4206325, 29.936915)"
"Near Quetzaltenango, Guatemala","(14.8464612, -91.5194208)"
"Edgewater, Maryland","(38.9358105, -76.5530141)"
"Baie-Comeau, Canada","(49.2118373, -68.1801406)"
"Near Surat Thani, Thailand","(9.7834728, 100.0566819)"
"Medellín, Colombia","(6.2697324, -75.6025597)"
"Vila Nova, Angola","(-12.6338815, 16.0461295)"
"Near Huambo, Angola","(-12.7772455, 15.7346713)"
"Guernsey, Channel Islands, England","(54.8978299, -1.4812451)"
"Mayne Island, British Columbia, Canada","(48.8443829, -123.2875518)"
"Geilenkirchen, Germany","(50.963605, 6.1199802)"
"Coconut Island, QLD, Australia","(-10.0501856, 143.0692813)"
"Bluefields, Nicaragua","(11.6038399, -83.5613814)"
"Hoskins, Papua New Guinea","(-5.4519975, 150.4071418)"
"Kinshasa,  Democratic Republic Congo","(-2.9814344, 23.8222636)"
"Rui'an, China","(27.7809047, 120.6512652)"
"Genoa, Italy","(44.40726, 8.9338624)"
"Near Tame, Colombia","(6.4615077, -71.7245069)"
"Davis Inlet, Newfoundland, Canada","(55.8852051, -60.8961284)"
"Near Ceyhan, Turkey","(37.0288825, 35.8124428)"
"Ribeirao Preto, Brazil","(-21.1776315, -47.8100983)"
"Near Malaga, Colombia","(6.699661, -72.7324563)"
"Shanghi, China",
"Off Port Vila, Vanuatu","(-17.7358761, 168.3157644)"
"Kuching, Malaysia","(1.5597561, 110.345397)"
"Ol Kiombo, Kenya","(-6.3833329, 26.6500001)"
"Little Rock, Arkansas","(34.7465071, -92.2896267)"
"Coron, Philippines","(11.9985507, 120.2051611)"
"Goroka, Papua New Guinea","(-6.0730028, 145.3932891)"
"Long Haul Lake, Manatoba, Canada","(55.3265835, -126.5310963)"
"Luzamba, Angola","(-9.1472811, 18.0431019)"
"Sittwe, Myanmar","(20.139197, 92.8970859)"
"Toluca , Mexico","(19.292545, -99.6569007)"
"Off Martha's Vineyard, Massachusetts","(41.3920454, -70.6208138)"
"Near Orito, Colombia","(0.6686314, -76.8749187)"
"Nasevou Village, Fiji","(-18.1119448, 178.406061)"
"Santo Antao, Cape Verde Islands","(17.0555285, -25.1723049)"
"Hualian, Taiwan","(23.9913421, 121.6197276)"
"Turtkul, Uzbekistan","(41.5544131, 61.0002405)"
"Belelm, Brazil",
"Girona, Spain","(41.9793006, 2.8199439)"
"Mt. Hidalgo, Mexico","(25.4906557, -103.1386369)"
"San Carlos, Venezuela","(-33.5130174, -71.6060716)"
"Aberdeen, South Dakota","(45.4649805, -98.487813)"
"Off Nantucket Island, Massachusetts","(41.3157314, -70.0090141)"
"Near Pristina, Kosovo","(42.6638771, 21.1640849)"
"Near Bayombang, Philippines","(12.3118659, 121.1867925)"
"Sao Jorge, Azores (Portugal)","(38.6445305, -28.052794)"
"Great Hallingbury, United Kingdom","(51.8539954, 0.1955686)"
"Amritsar, India / Kandahar, Afghanistan","(31.6205738, 65.7157573)"
"Bejuma, Venezuela","(10.1740211, -68.2578551)"
"Near Simara, Nepal","(27.1604122, 84.9765794)"
"Near Zonguldak, Turkey","(41.250324, 31.8389738)"
"Abuja, Nigeria","(9.0643305, 7.4892974)"
"Niederhasli, Switzerland","(47.4812949, 8.4858049)"
"Off Marsa el-Brega, Libya","(30.407313, 19.578771)"
"Off Abidjan, Ivory Coast","(5.320357, -4.016107)"
"Off Point Mugu, California","(34.0854138, -119.060992)"
"Burbank, Calilfornia",
"Near Kuna Yala, Panama","(9.4708308, -78.9600918)"
"Ennadai Lake, Canada","(61.0943811, -100.8470139)"
"Herreira, Spain","(38.9778759, 1.3198996)"
"Kadirana, Sri Lanka","(6.9782078, 79.8746542)"
"Huambo, Angola","(-12.7772455, 15.7346713)"
"Near Anuradhapura, Sri Lanka","(8.0361148, 80.4792148)"
"Marianna, Florida","(30.7743596, -85.2268735)"
"Samal Island, Philippines","(7.0453024, 125.7501162)"
"Pepa ,Congo","(-7.0770001, 29.724444)"
"Bapi, Papua New Guinea","(-7.6572063, 147.0944802)"
"Lyon Satolas, France","(45.7244237, 5.0865172)"
"Kurupung, Guyana","(6.248287, -60.1410824)"
"Kaunakakai, Hawaii","(21.089891, -157.0111876)"
"Moanda, Gabon","(-1.554764, 13.2218993)"
"Near Wilkes-Barre, Pennsylvania","(41.2464824, -75.8817316)"
"Off Whyalla, Australia","(-32.9964155, 137.5444161)"
"Accra, Ghana","(5.5571096, -0.2012376)"
"Shitai, China","(30.1875746, 117.5942216)"
"Boca Raton, Florida","(26.3586885, -80.0830984)"
"Off Shimano, Japan","(34.5594782, 135.4654903)"
"Off Cagayancillo, Philippines","(9.577868, 121.1993551)"
"Near Villahermosa, Mexico","(17.9884657, -92.9366326)"
"Patna, India","(25.6093239, 85.1235252)"
"Linneus, Maine","(46.0386716, -67.959596)"
"Nassau, Bahamas","(25.0782266, -77.3383438)"
"Gonesse, France","(48.9863555, 2.4500537)"
"Mafraq, Jordan","(32.5386102, 38.1307328)"
"Jodhura, Nepal",
"Cubatao, Brazil","(-23.8857982, -46.4241869)"
"Puerto Montt, Chile","(-41.471798, -72.9395915)"
"Burlington Township, New Jersey","(40.072587, -74.8870076)"
"Near Tshikapa, Congo","(-6.6399269, 20.5405413)"
"Off Manama, Bahrain","(26.2235041, 50.5822436)"
"Mount Montezuma, Colombia","(8.6214646, -75.9167084)"
"Near Burketown, Australia","(-17.7400597, 139.5465396)"
"Kumarapura, Sri Lanka","(7.5554942, 80.7137847)"
"Reynosa, Mexico","(26.0907673, -98.2788191)"
"Port Radium, Northwest Territories, Canada","(66.0850119, -118.035993)"
"Hillsboro, Missouri","(38.2322766, -90.5629034)"
"Near Sam Neua, Laos","(20.4151514, 104.047364)"
"Near Batumi, Republic of Georgia","(41.6491259, 41.6812946)"
"Near Monaquimbundo, Angola",
"Luabo, Democratic Republic Congo","(-2.9814344, 23.8222636)"
"Near Luanda, Angola","(-8.8272699, 13.2439512)"
"Near Sumacal, Beni, BO","(-12.9482581, -65.1120651)"
"Zheng Zou AB, China","(36.8125353, 117.7387539)"
"Near Silimo, Indonesia","(-4.480476, 138.9316798)"
"Eider Point, Alaska","(53.9576138, -166.5894621)"
"Ciudad Bolivar, Venezuela","(8.1434788, -63.5515581)"
"Byers, Colorado","(39.709152, -104.2219965)"
"Beaver Island, Minnesota","(48.0635145, -91.4880411)"
"Jakobkondre, Suriname",
"Near Granton Harbour, Scotland","(55.9835467, -3.2281112)"
"Unadilla, Georgia","(32.2617378, -83.7364358)"
"Medina, Saudi Arabia","(24.471153, 39.6111216)"
"Gustavia, St. Barthélémy, French West Indies","(16.2500695, -61.5639255)"
"Jadura, Indonesia",
"Near Aspen, Colorado","(39.1911128, -106.82356)"
"Adar Yeil, Sudan","(37.6101364, 126.9142306)"
"Thanh Tranh Village, Vietnam","(15.8792426, 108.3227273)"
"Near Roque Perez, Argentina","(-35.3964431, -59.3312128)"
"Malatya, Turkey","(38.3487153, 38.3190674)"
"Near Sari, Iran","(36.5537458, 53.0602761)"
"Mendoza, Argentina","(-32.8874778, -68.8359157)"
"Near Myakotino, Russia",
"Jayapura, Indonesia","(-2.6086255, 140.9980302)"
"Off Chinhae, South Korea","(36.638392, 127.6961188)"
"Near Puerto Cabello, Venezuela","(10.4677932, -68.0436682)"
"Reykjavík, Iceland","(64.1055168, -21.8228825)"
"Near Meadview, Arizona","(36.0022091, -114.0682936)"
"Mugogo, Democratic Republic Congo","(-2.9814344, 23.8222636)"
"Ithaca, New York","(42.4374175, -76.5483724)"
"Lajes, Terceira, Azores","(38.7211653, -27.217638)"
"Arlington, Virginia.","(38.8769326, -77.0893094)"
"Shanksville, Pennsylvania","(40.0175017, -78.9071878)"
"Near Chichen Itza, Mexico","(20.6828519, -88.5687196)"
"Belo Horizonte, Brazil","(-19.9227318, -43.9450948)"
"110 miles SW of Sochi, Russia","(43.7612728, 39.88033)"
"Mollet Lake, Quebec, Canada","(52.4760892, -71.8258668)"
"Off Valencia, Spain","(39.4697065, -0.3763353)"
"Dillingham, Alaska","(59.0398598, -158.4604177)"
"Shamattawa, Canada","(55.8608747, -92.0897947)"
"Belle Harbor, Queens, New York","(40.5767844, -73.8478287)"
"Kalyazin, Russia","(57.2400206, 37.8404883)"
"Palade, Estonia","(58.9684544, 22.8543401)"
"Birchwil, Switzerland","(47.4586072, 8.6349201)"
"Port Harcourt, Nigeria","(4.7676576, 7.0188527)"
"Near Novaya Inya , Russia","(59.375946, 144.862259)"
"Geti, Democratic Republic Congo","(-2.9814344, 23.8222636)"
"Bremerhaven, Germany","(53.5505392, 8.5851945)"
"Birmingham, England","(52.4796992, -1.9026911)"
"Shamsi AFB, Pakistan",
"Bilbao, Spain","(43.2630018, -2.9350039)"
"Chilpancingo, Mexico","(19.4059029, -99.1685264)"
"Near Solo, Indonesia","(-7.5692489, 110.828448)"
"Near La Bonita, Ecuador","(0.4729531, -77.5460728)"
"Near Luena, Angola","(-11.7790355, 19.9122676)"
"Near Ipiales, Colombia","(0.8236934, -77.6349296)"
"Near Khorramabed, Iran",
"Lakhta, Russia","(59.9911386, 30.1673669)"
"Off Dumaguete, Philippines","(9.3054777, 123.3080446)"
"Monte Rotondo, Italy","(42.9656152, 13.1954149)"
"Near Placetas, Cuba","(22.3140717, -79.653392)"
"Off Djibouti, Republic of Djibouti","(11.5936903, 43.1472724)"
"Palma de Mallorca, Spain","(39.5695818, 2.6500745)"
"Popayán, Colombia","(2.4422295, -76.6072368)"
"Near Abakan, Russia","(53.72068, 91.4406019)"
"Near Tunis, Tunisia","(36.8002068, 10.1857757)"
"Off Dalian, China","(39.740278, 122.255833)"
"Off Penghu Island, Taiwan","(23.5585684, 119.6098859)"
"George, South Africa","(-33.9597212, 22.4587148)"
"Near Ndalatando, Angola","(-9.2984831, 14.9144981)"
"Near Gardez, Afghanistan","(33.6014533, 69.2235518)"
"Uberlingen, Germany","(47.7664456, 9.1605106)"
"Near Long Barai, Indonesia","(-3.0161318, 114.3776918)"
"Off Cromer, Norfork, England","(52.9311367, 1.3012758)"
"Surkhet, Nepal","(28.6573817, 81.5137825)"
"Lviv, Ukraine","(49.4810342, 22.7015261)"
"Caguas, Puerto Rico","(18.2129421, -66.0558844)"
"Kadjuduwa Watta, Sri Lanka","(7.1144098, 79.8992269)"
"Khankala, Chechnya","(43.2908848, 45.7776202)"
"Pokhara, Nepal","(28.209538, 83.991402)"
"Near Ayan, Russia","(56.4609007, 138.1817339)"
"Paranapanema, Sao Paulo, Brazil","(-23.390161, -48.720868)"
"Near Natashquan, Quebec, Canada","(50.1839077, -61.8174062)"
"Vasco, India","(15.398403, 73.8129178)"
"Near Niederanven, Luxembourg","(49.6512224, 6.2552342)"
"Tarakan, Indonesia","(3.3000169, 117.6330159)"
"Taos, New Mexico","(36.4072377, -105.573284)"
"Masai Mara Game Reserve, Kenya","(-1.4431437, 35.2073128)"
"Gohu Airstrip, Papua New Guinea","(-7.2368879, 141.1060509)"
"Rockford, Illinois","(42.2713945, -89.093966)"
"Off Pachao Tao, Taiwan","(25.0793174, 121.2345977)"
"Near Isfanan, Iran",
"Anjouan, Comoros Islands","(-12.2265681, 44.4107049)"
"Diyarbakir, Turkey","(37.9162222, 40.2363542)"
"Near Chachapoyas, Peru","(-6.3718272, -77.8093378)"
"Near Ndjolé, Gabon","(-0.1838081, 10.7658311)"
"Busia, Kenya","(0.3712048, 34.2647952)"
"Baucau, East Timor","(-8.4650462, 126.4585621)"
"Tallinn, Estonia","(59.4334368, 24.7522084)"
"Ferguson, Kentucky","(37.0667444, -84.5999413)"
"Near Shahdad, Iran","(30.4196387, 57.7023666)"
"Near Kohat, Pakistan","(32.9971298, 70.6261718)"
"Near Barki, Russia","(54.0231811, 43.7682914)"
"New Vienna, Iowa","(42.5480503, -91.1143005)"
"Near Kinshasa, Congo","(-4.3664216, 15.2585901)"
"Near Macka, Turkey","(40.8120424, 39.6127153)"
"Talkeetna, Alaska","(62.267644, -150.0295288)"
"Near Oiapoque,  Brazil","(3.8432128, -51.8350798)"
"Volcano, Hawaii","(19.489205, -155.2573683)"
"Near Brest, France","(48.3905283, -4.4860088)"
"Near Rudshour, Iran",
"Anchor Point, Alaska","(59.7683285, -151.6770193)"
"Near Rooisand Desert Ranch, Namibia","(-23.2890911, 16.1120293)"
"Blida, Algeria","(36.4705658, 2.8274937)"
"Belem, Para, Brazil","(-1.45056, -48.4682453)"
"Macaé, Rio de Janeiro, Brazil","(-22.2828305, -41.9649091)"
"Port Sudan, Sudan","(19.619217, 37.211709)"
"Off Treasure Cay, Bahamas","(26.6774884, -77.2895287)"
"Near San Cristobal, Venezuela","(7.7756663, -72.2214154)"
"Mount Kenya, Kenya","(-0.152707, 37.3092138)"
"Waialeale,Kauai, Hawaii","(22.0700655, -159.4979006)"
"Groton, Connecticut","(41.3501598, -72.0761998)"
"Tocomita, Venezuela","(7.7592893, -63.0866665)"
"Kamchatka Peninsula, Russia","(55.8680319, 158.8025312)"
"Cap Haitien, Haiti","(19.7595236, -72.2008068)"
"Off Hyannis, Massachusetts","(41.6570349, -70.2783172)"
"Near Summer Beaver, Canada","(52.7077209, -88.5419171)"
"Del Rio, Texas","(29.357515, -100.8987707)"
"Near La Quemada, Mexico","(22.4230703, -102.8412614)"
"Gaspé, Quebec, Canada","(48.8317223, -64.4837569)"
"Off Waikanae, New Zealand","(-40.8758432, 175.0643045)"
Sao Gabriel de Cachoeria,"(-11.7677973, -37.6935339)"
"Uriman, Venezuela","(5.3566832, -62.6698029)"
"Cody, Wyoming","(44.5263107, -109.056392)"
"Near Hasi, Iraq","(31.1877705, 45.7402842)"
"200 miles NE of Derby, Australia","(-17.5772175, 124.5639656)"
"Near Ogle, Guyana","(6.8040808, -58.1052187)"
"Mosul, Iraq","(36.343694, 43.0997156)"
"Boende, Congo","(-0.2836634, 20.8826368)"
"Jellicoe, Ontario, Canada","(49.683333, -87.516667)"
"Helendale, California","(34.7438754, -117.324492)"
"Cotonou, Benin","(6.3676953, 2.4252507)"
"Off Sharm el Sheikh, Egypt","(27.8644422, 34.295447)"
"Bitonja, Bosnia-Herzegovina",
"Bakou, Azerbaijan
	
Bakou, Azerbaijan","(40.3698533, 49.8346715)"
"Tonopah, Nevada","(38.100063, -117.2250609)"
"Pyote, Texas","(31.5366066, -103.126191)"
"Near Milpillas, Mexico","(20.502067, -102.5352467)"
"Carepa, Colombia","(7.7984516, -76.7460389)"
"Jiech, Sudan",
"Dalang, Sudan","(12.0315831, 29.6516649)"
"Bozoy, Kazakhstan",
"Mwingi, Kenya","(-0.9333, 38.0666)"
"Near Lukla, Nepal","(27.6882836, 86.7314102)"
"Off Libreville, Gabon","(0.4086518, 9.4418849)"
"Near Yengema, Sierra Leone","(8.6176481, -11.0502512)"
"Off Beef Island, British Virgin Islands","(18.4394817, -64.5233511)"
"Off  Macaé , Rio de Janeiro , Brazil","(-22.2828305, -41.9649091)"
"Ononge, Papua New Guinea","(-8.6731495, 147.262127)"
"Near Maracay, Venezuela","(10.2375144, -67.5890216)"
"Near Rostov-on-Don, Russia","(47.2610441, 39.7249086)"
"Near Toula, Russia","(54.1930321, 37.61754)"
"Near Mc Grath, Alaska","(52.6783306, -7.8147717)"
"Villahermosa, Mexico","(17.9884657, -92.9366326)"
"Off Mount Athos, Greece","(40.6330037, 22.9502972)"
"Tortuguero lagoon, Puerto Rico","(17.9530278, -66.8441376)"
"Kaduqli, Sudan","(11.0085934, 29.7155751)"
"Halifax, Nova Scotia, Canada","(44.648618, -63.5859487)"
"Jefferson City, Missouri","(38.577359, -92.1724265)"
"Coron Island, Philippines","(11.897307, 120.2382323)"
"Near Kirksville, Missouri","(40.1948848, -92.5833939)"
"Martinsville, Virginia","(36.6915262, -79.8725386)"
"Baotou, Inner Mongolia, China","(40.6174777, 109.944912)"
"Near Bagram, Afghanstan","(34.9333734, 69.2341077)"
"Montrose, Colorado","(38.4375391, -108.2403855)"
"Solo, Indonesia","(-7.5692489, 110.828448)"
"El Junquito, Venezuela","(10.4614338, -67.0806217)"
"Near Jeddah, Saudi Arabia","(21.5007671, 39.1923429)"
"Uberaba, Brazil","(-19.750833, -47.936666)"
"Tura,Siberia, Russia","(64.2741955, 100.2169635)"
"Manguipayan, Colombia",
"Keene, New Hampshire","(42.933597, -72.2784264)"
"Rutbah, Iraq","(33.0367407, 40.2876459)"
"Lasi, Hungary",
"Near Al Taji, Iraq","(33.5274048, 44.2206506)"
"Bimin, Papua, New Guinea","(-5.5226203, 142.0871194)"
"Off Sarmi, Indonesia
	
Sarmi, Indonesia","(-1.8546889, 138.7492642)"
"Chrallave, Venezuela",
"Off Campbeltown, United Kingdom","(55.4241858, -5.6051005)"
"Varandey, Russia","(68.8489378, 58.2025419)"
"Off Mwanza, Tanzania","(-2.5620509, 33.0505046)"
"El Embrujo, Providencia Island, Colombia","(13.3531165, -81.3749889)"
"Near Rovie, Albania","(57.9905471, -4.1729332)"
"Enarotali, Indonesia","(-3.9284498, 136.3766675)"
"Near Baghdad, Iraq","(33.036132, 44.263504)"
"Pisco, Peru","(-13.7099813, -76.2029793)"
"Near Stratford, New Zealand","(-43.52005, 172.60444)"
"Near Kisangani, Democratic Republic Congo","(-2.9814344, 23.8222636)"
"Lockhart River, Queensland, Australia","(-13.0453165, 143.3049774)"
"El Portezulo, Argentina",
"Mongu, Zambia","(-15.2668751, 23.1365365)"
"Walungu, Congo","(-2.7708003, 28.6000504)"
"Khartoom, Sudan",
"Baney, Equatorial Guinea","(3.7012926, 8.9102322)"
"Off Palermo, Italy","(38.1112268, 13.3524434)"
"Off Talinn, Estonia","(36.6301495, 2.3801486)"
"Near Grammatikos, Greece","(37.7121132, 21.5772209)"
"Near La Cucharita, Venezuela","(4.5491383, -74.0926524)"
"Near Pucallpa, Peru","(-8.3820737, -74.5387507)"
"Medan, Indonesia","(3.5896654, 98.6738261)"
"Isiro, Democtratic Republic Congo","(-2.9814344, 23.8222636)"
"Near Brazzaville, Congo","(-4.2361875, 15.3185498)"
"Aru, Democratic Republic Cogo","(44.8810732, 34.0538838)"
"Lisa, Nigeria","(7.25, 3.6)"
"Near Port Harcourt, Nigeria","(4.7676576, 7.0188527)"
"Off Miami Beach, Florida","(25.7929198, -80.1353006)"
"Nardaran, Azerbaijan","(40.5588769, 50.0065319)"
Near Karkov,
"Near Tal Afar, Iraq","(36.3740434, 42.4434793)"
"Bukalaza, Uganda",
"Near Orumiyeh, Iran","(37.548341, 45.0667111)"
"Near Telkibanya, Hungary","(48.485603, 21.3544735)"
"Near Watertown, Wisconson","(42.3652518, -71.1843236)"
"Near Paris, Tennessee","(36.3019461, -88.3258578)"
"Rio Bonito, Brazil","(-22.7108378, -42.6271864)"
"Marsabit, Kenya","(2.8579582, 37.7154892)"
"Kousséri, Cameroon","(12.0831175, 15.0191262)"
"Lashkar Gah, Afghanistan","(31.5852277, 64.3608959)"
"La Ronge, Saskatchewan","(55.1005283, -105.2900485)"
Off São Tomé Island,"(0.2162023, 6.5945084)"
"Yaocun, China","(36.1776093, 113.806834)"
"Abéché, Chad","(13.8280295, 20.8283652)"
"Jumla, Napal",
"Sake, Democratic Republic Congo","(-2.9814344, 23.8222636)"
"Multan, Pakistan","(30.197838, 71.4719683)"
"Bukavu, Democratic Republic Congo","(-2.4982396, 28.8549055)"
"Near Pownal, Vermont","(42.7659465, -73.2360643)"
"Near Piacenza, Italy","(44.8476352, 9.6665313)"
"Near Donetsk, Ukraine","(48.0318763, 37.7839755)"
"Lexington, Kentucky","(38.0464066, -84.4970393)"
"Mahad, Iran",
"Vladikavkaz, Russia","(43.024593, 44.68211)"
"Vandeikya, Nigeria","(6.8334444, 9.0458344)"
"Near Sao Felix do Araguaia , Brazil","(-11.6170646, -50.6667246)"
"Stord, Norway","(59.8250205, 5.4883706)"
"Tashkent, Russia","(56.8482892, 60.6098184)"
"Puncak Jaya, Indonesia","(-4.0786047, 137.1586126)"
"Near Leticia, Colombia","(-4.2129211, -69.9425963)"
"Cajon Pass, California","(34.3252897, -117.4286824)"
"Off Parepare, Indonesia","(-4.0057055, 119.6236101)"
"Near Balad Air Base, Iraq","(33.9405109, 44.3698492)"
"Yogyakarta, Indonesia","(-7.8011998, 110.3646608)"
"Princeville, Hawaii","(22.223611, -159.485278)"
"Hanea, Kauai, Hawaii","(22.0503838, -159.5588624)"
"Fazenda Nossa Senhora de Lourdes, Brazil","(-21.6455604, -45.1935254)"
"Samara, Russia","(53.1956255, 50.1014927)"
"Near Kopinang, Guyana","(5.0020846, -59.8160036)"
"Shatoi, Chechnya",
"Near Dizangue, Cameroon","(3.7465887, 10.0180602)"
"Near El-Thamad, Egypt","(29.6730181, 34.3048622)"
"Walikale Airstrip, Congo","(-4.6629023, 28.6605348)"
"Near Pampa Hermosa, Peru","(-11.4334433, -74.834495)"
"Freetown, Sierra Leone","(8.479004, -13.26795)"
"Near Milwaukee, Wisconson","(43.0386475, -87.9090751)"
"Selenge province, Mongolia","(49.3910136, 107.0629034)"
"Near Kamina, Congo","(-8.9182237, 25.0315856)"
"Near Sihanoukville, Cambodia","(10.6220485, 103.5223365)"
"M'Banza Congo, Angola","(-6.2678204, 14.2417957)"
"Culiacan, Mexico","(24.7978965, -107.393395)"
"Muncho Lake, British Columbia, Canada","(58.9939483, -125.7770163)"
"Near Shinile, Ethiopia","(10.2122931, 41.9276455)"
"Rudyerd Bay, Alaska","(55.5897222, -130.7458333)"
